name,manager_tenure,inception_date,asset_in_mil,turnover_rates,minimum_investment,load,net_expense_ratio,gross_expense_ratio
Domini Impact Equity Fund A Shares (DSEPX),20 years,"$1,146.91",06/03/1991,23%,"$2,500",Y,1.09%,1.47%
Domini Impact Equity Fund Investor Shares (DSEFX),20 years,"$1,146.91",06/03/1991,23%,"$2,500",N,1.09%,1.09%
Wasatch Frontier Emerging Small Countries Fund® Institutional Class (WIFMX),20 years,$72.37,01/31/2012,63%,"$100,000",N,1.96%,2.18%
PGIM Jennison 20/20 Focus Fund- Class Z (PTWZX),20 years,"$1,214.49",07/01/1998,74%,"$2,500",N,0.89%,0.89%
American Funds SMALLCAP World Fund® Class F-1 (SCWFX),20 years,"$84,473.29",04/30/1990,38%,$250,N,1.08%,1.08%
William Blair Emerging Markets Growth Fund Class I (WBEIX),20 years,"$1,116.76",06/06/2005,77%,"$500,000",N,1.3%,1.3%
AMG Renaissance Large Cap Growth Fund Class I (MRLSX),20 years,$108.72,06/03/2009,28%,"$100,000",N,0.75%,0.94%
Nationwide Geneva Mid Cap Growth Fund Class C (NWHWX),20 years,$484.23,01/04/1999,14.7%,"$2,500",N,1.84%,1.84%
Fidelity® Small Cap Growth Fund (FCPGX),20 years,"$6,649.71",11/03/2004,107%,$0,N,1%,1%
Nuveen Small Cap Growth Opportunities Fund Class C (FMPCX),20 years,$368.35,08/01/1995,105%,"$3,000",N,1.98%,2.18%
Value Line Larger Companies Focused Fund Investor Class (VALLX),20 years,$418.29,03/20/1972,54%,"$2,500",N,1.15%,1.15%
Artisan Focus Fund Investor Shares (ARTTX),20 years,"$2,295.18",04/24/2017,285.25%,"$2,500",N,1.32%,1.32%
ICON Health and Information Technology Fund Institutional Class (ICTEX),20 years,$126.66,02/19/1997,67%,"$500,000",N,1.29%,1.29%
MFS Massachusetts Investors Growth Stock Fund Class C (MIGDX),20 years,"$11,250.25",01/01/1935,23%,"$1,000",N,1.46%,1.46%
Glenmede Quantitative U.S. Large Cap Growth Equity Portfolio Institutional Shares (GTILX),20 years,"$2,333.12",02/27/2004,69%,"$2,500",N,0.68%,0.68%
Royce Smaller-Companies Growth Fund Service Class (RYVPX),20 years,$340.88,06/14/2001,61%,"$2,500",N,1.49%,1.54%
American Century Disciplined Growth Fund Institutional Class (ADCIX),20 years,$534.42,09/30/2005,189%,"$5,000,000",N,0.8%,0.81%
William Blair Global Leaders Fund Class I (WGFIX),20 years,$147.56,10/15/2007,27%,"$500,000",N,0.9%,1.12%
Columbia Convertible Securities Fund Class A (PACIX),20 years,"$2,625.46",09/25/1987,98%,"$2,500",Y,1.12%,1.12%
Reynolds Blue Chip Growth Fund (RBCGX),20 years,$82.82,08/12/1988,263%,"$2,500",N,2.01%,2.03%
Wasatch Frontier Emerging Small Countries Fund Investor Class Shares (WAFMX),20 years,$72.37,01/31/2012,63%,"$2,500",N,2.15%,2.38%
American Beacon Stephens Mid-Cap Growth Fund Investor Class (STMGX),20 years,$805.02,02/01/2006,22%,"$2,500",N,1.15%,1.23%
Harbor Small Cap Growth Fund Investor Class (HISGX),20 years,"$1,129.83",11/01/2000,95%,"$2,500",N,1.25%,1.25%
Jackson Square Large-Cap Growth Fund Investor Class (JSPJX),20 years,"$2,408.32",12/03/1993,54%,"$2,500",N,0.99%,1.19%
Parnassus Endeavor Fund Investor Shares (PARWX),20 years,"$5,251.55",04/29/2005,52.77%,"$2,500",N,0.94%,0.94%
American Beacon Stephens Mid-Cap Growth Fund A Class (SMFAX),20 years,$805.02,02/01/2006,22%,"$2,500",Y,1.2%,1.24%
Green Century Equity Fund Individual Investor Class (GCEQX),20 years,$558.97,09/13/1995,9%,"$2,500",N,1.25%,1.25%
Victory RS Growth Fund Class Y (RGRYX),20 years,$348.84,05/12/1992,73%,"$1,000,000",N,0.83%,0.99%
Pioneer Fund Class Y (PYODX),20 years,"$8,117.81",02/10/1928,91%,"$5,000,000",N,0.61%,0.83%
"BNY Mellon Appreciation Fund, Inc. - Investor Shares (DGAGX)",20 years,"$2,614.88",01/18/1984,9.52%,"$2,500",N,0.89%,0.89%
USAA Aggressive Growth Fund (USAUX),20 years,"$2,377.19",10/19/1981,46%,"$3,000",N,0.72%,0.72%
Alger International Focus Fund Class Z (ALCZX),20 years,$214.13,12/29/2010,105.22%,"$500,000",N,0.89%,1.02%
Goldman Sachs Large Cap Growth Insights Fund Class C (GLCCX),20 years,"$1,985.44",05/01/1997,218%,"$1,000",N,1.66%,1.7%
Transamerica Mid Cap Growth A (MCGAX),20 years,$385.57,11/07/2001,91%,"$2,500",Y,1.19%,1.19%
Ashmore Emerging Markets Small Cap Equity Fund Institutional Class (ESCIX),20 years,$11.48,10/04/2011,62%,"$1,000,000",N,1.52%,2.56%
Champlain Mid Cap Fund Advisor Class (CIPMX),20 years,"$7,545.47",06/30/2008,36%,"$10,000",N,1.09%,1.09%
MFS Blended Research Growth Equity Fund Class C (BRWCX),20 years,$264.42,09/15/2015,71%,"$1,000",N,1.49%,1.61%
MainStay Epoch Capital Growth Fund Class A (MECDX),20 years,$78.63,06/30/2016,43%,"$2,500",Y,1.15%,1.16%
Invesco Gold & Special Minerals Fund Class C (OGMCX),20 years,"$2,164.81",07/19/1983,43%,"$1,000",N,1.81%,1.81%
HSBC Opportunity Fund Class I (RESCX),20 years,$101.37,09/03/1996,94%,"$1,000,000",N,1.1%,1.63%
Voya Large-Cap Growth Fund Class I (PLCIX),20 years,"$1,454.22",07/21/1997,93%,"$250,000",N,0.61%,0.61%
JPMorgan U.S. Equity Fund Class I (JUESX),20 years,"$21,985.22",09/17/1993,84%,"$1,000,000",N,0.69%,0.72%
Pioneer Fundamental Growth Fund Class Y (FUNYX),20 years,"$7,137.94",08/22/2002,24%,"$2,500",N,0.76%,0.76%
Calamos International Growth Fund Class A (CIGRX),20 years,$302.11,03/16/2005,85.2%,"$2,500",Y,1.1%,1.52%
Fidelity® Magellan® Fund (FMAGX),20 years,"$31,775.04",05/02/1963,56%,$0,N,0.79%,0.79%
Glenmede Quantitative U.S. Large Cap Growth Equity Portfolio (GTLLX),20 years,"$2,333.12",02/27/2004,69%,"$2,500",N,0.88%,0.88%
AMG Renaissance Large Cap Growth Fund Class N (MRLTX),20 years,$108.72,06/03/2009,28%,"$2,500",N,1%,1.19%
Calvert US Large Cap Core Responsible Index Fund Class I (CISIX),20 years,"$5,061.74",06/30/2000,10%,"$100,000",N,0.24%,0.35%
Delaware Select Growth Fund Class A (DVEAX),20 years,$396.40,05/16/1994,134%,"$2,500",Y,1.24%,1.24%
American Century Disciplined Growth Fund Investor Class (ADSIX),20 years,$534.42,09/30/2005,189%,"$2,500",N,1%,1.01%
William Blair Emerging Markets Fund Class N (WBENX),20 years,"$1,116.76",06/06/2005,77%,"$2,500",N,1.55%,1.55%
PGIM Jennison Small Company Fund- Class Z (PSCZX),20 years,"$2,326.63",01/22/1990,58%,"$2,500",N,0.82%,0.82%
American Funds New Perspective Fund® Class C (NPFCX),20 years,"$150,985.36",03/13/1973,26%,$250,N,1.51%,1.51%
Rydex S&P 500 Pure Growth Fund Class A (RYLGX),20 years,$103.73,02/20/2004,240%,"$2,500",Y,1.6%,1.6%
Rydex S&P 500 Pure Growth Fund Class H (RYAWX),20 years,$103.73,02/20/2004,240%,"$2,500",N,1.61%,1.61%
Schwab Large-Cap Growth Fund™ (SWLSX),20 years,$292.33,10/03/2005,65%,"$2,500",N,0.99%,1.02%
Harbor Global Leaders Fund Institutional Class (HGGAX),20 years,$142.41,03/02/2009,55%,"$50,000",N,0.86%,0.98%
PGIM Jennison 20/20 Focus Fund- Class A (PTWAX),20 years,"$1,214.49",07/01/1998,74%,"$2,500",Y,1.2%,1.2%
William Blair Global Leaders Fund Class N (WGGNX),20 years,$147.56,10/15/2007,27%,"$2,500",N,1.15%,1.45%
Eventide Dividend Opportunities Fund Class C Shares (ETCDX),20 years,$464.39,09/29/2017,35%,"$2,500",N,1.95%,2.3%
Wells Fargo Large Cap Growth Fund - Class Inst (STNFX),20 years,"$1,247.36",07/30/2010,39%,"$1,000,000",N,0.75%,0.85%
Ashmore Emerging Markets Small Cap Equity Fund Class A (ESSAX),20 years,$11.48,10/04/2011,62%,"$2,500",Y,1.77%,2.78%
Victory RS Growth Fund Class A (RSGRX),20 years,$348.84,05/12/1992,73%,"$2,500",Y,1.1%,1.19%
Aberdeen U.S. Sustainable Leaders Fund Class C (GXXCX),20 years,$519.74,06/30/2000,49.68%,"$2,500",N,1.9%,2.08%
Natixis Vaughan Nelson Select Fund Class Y (VNSYX),20 years,$244.48,06/29/2012,88%,"$100,000",N,0.85%,0.88%
Pioneer Fund Class A (PIODX),20 years,"$8,117.81",02/10/1928,91%,"$2,500",Y,1.08%,1.08%
Pioneer Select Mid Cap Growth Fund Class Y (GROYX),20 years,"$2,949.89",06/30/1993,83%,"$2,500",N,0.78%,0.78%
Eaton Vance Tax-Managed Multi-Cap Growth Fund Class A (EACPX),20 years,$149.92,06/30/2000,24%,"$2,500",Y,1.28%,1.28%
Azzad Ethical Fund (ADJEX),20 years,$151.15,12/22/2000,64.12%,"$2,500",N,0.99%,1.15%
Chautauqua Global Growth Fund Institutional Class (CCGIX),20 years,$307.96,04/15/2016,24%,"$10,000",N,0.8%,1.04%
AB Concentrated Growth Fund Class C (WPCSX),20 years,"$1,477.38",02/28/1994,26%,"$2,500",N,1.75%,1.76%
Federated Hermes Emerging Markets Equity Fund Class Institutional (PIEFX),20 years,$56.60,03/31/2017,13%,"$25,000",N,0.99%,2.06%
RMB Fund Class I (RMBGX),20 years,$149.17,06/16/1975,29%,"$100,000",N,0.98%,0.98%
RMB SMID Cap Fund Class I (RMBMX),20 years,$281.06,12/31/2004,21%,"$100,000",N,0.8%,0.9%
BNY Mellon Sustainable U.S. Equity Fund Class A (DTCAX),20 years,$574.70,03/29/1972,30.42%,"$2,500",Y,0.95%,0.99%
Principal SmallCap Growth Fund I Institutional Class (PGRTX),20 years,"$3,280.10",12/06/2000,67.6%,"$1,000,000",N,0.94%,0.96%
JPMorgan U.S. Equity Fund Class A (JUEAX),20 years,"$21,985.22",09/17/1993,84%,"$1,000",Y,0.94%,0.98%
American Century Focused Global Growth Fund I Class (AGGIX),20 years,$785.42,12/01/1998,73%,"$5,000,000",N,0.87%,0.87%
Fidelity® U.S. Sustainability Index Fund (FITLX),20 years,"$1,858.40",05/09/2017,7%,$0,N,0.11%,0.11%
Paradigm Micro-Cap Fund (PVIVX),20 years,$149.33,12/31/2007,81.04%,"$2,500",N,1.26%,1.26%
American Century Disciplined Growth Fund Class A (ADCVX),20 years,$534.42,09/30/2005,189%,$250,Y,1.25%,1.26%
HCM Dividend Sector Plus Fund Class A (HCMNX),20 years,"$1,209.47",03/11/2015,2%,"$2,500",Y,2.09%,2.09%
Vanguard Diversified Equity Fund Investor Shares (VDEQX),20 years,"$2,965.37",06/10/2005,14%,"$2,500",N,0.35%,0.35%
Calvert US Large Cap Core Responsible Index Fund Class A (CSXAX),20 years,"$5,061.74",06/30/2000,10%,"$5,000",Y,0.49%,0.6%
Eaton Vance Growth Fund Class C (ECLCX),20 years,$452.95,09/09/2002,37%,"$2,500",N,1.8%,1.84%
Pioneer Fundamental Growth Fund Class A (PIGFX),20 years,"$7,137.94",08/22/2002,24%,"$2,500",Y,1.04%,1.04%
Wells Fargo Large Cap Growth Fund - Class Admin (STDFX),20 years,"$1,247.36",07/30/2010,39%,$0,N,0.95%,1.1%
Emerald Finance and Banking Innovation Fund - Institutional (HSSIX),20 years,$332.43,02/18/1997,171%,"$1,000,000",N,1.28%,1.28%
JPMorgan U.S. GARP Equity Fund Class I (JPGSX),20 years,"$1,319.43",02/28/2003,96%,"$1,000,000",N,0.59%,0.65%
PGIM Jennison Small Company Fund- Class R2 (PSCHX),20 years,"$2,326.63",01/22/1990,58%,"$2,500",N,1.18%,1.39%
Rydex Transportation Fund Class Investor (RYPIX),20 years,$36.78,04/02/1998,205%,"$2,500",N,1.41%,1.41%
BNY Mellon Tax Managed Growth Fund Class A (DTMGX),20 years,$160.17,11/04/1997,9.68%,"$2,500",Y,1.2%,1.21%
Fidelity® Select Consumer Discretionary Portfolio (FSCPX),20 years,$648.16,06/29/1990,28%,$0,N,0.76%,0.76%
Voya Large-Cap Growth Fund Class A (NLCAX),20 years,"$1,454.22",07/21/1997,93%,"$2,500",Y,0.96%,0.96%
Alger International Focus Fund Class A (ALGAX),20 years,$214.13,12/31/1996,105.22%,"$2,500",Y,1.34%,1.34%
JPMorgan Tax Aware Equity Fund Class I (JPDEX),20 years,"$1,439.25",01/30/1997,19%,"$1,000,000",N,0.55%,0.71%
Natixis Vaughan Nelson Select Fund Class A (VNSAX),20 years,$244.48,06/29/2012,88%,"$2,500",Y,1.1%,1.13%
PGIM Jennison Small Company Fund- Class A (PGOAX),20 years,"$2,326.63",01/22/1990,58%,"$2,500",Y,1.18%,1.18%
Pioneer Select Mid Cap Growth Fund Class A (PGOFX),20 years,"$2,949.89",06/30/1993,83%,"$2,500",Y,1.01%,1.01%
Carillon ClariVest Capital Appreciation Fund Class C (HRCCX),20 years,$644.13,12/12/1985,45%,"$2,500",N,1.75%,1.89%
"Morgan Stanley Institutional Fund, Inc. International Advantage Portfolio Class I (MFAIX)",20 years,"$6,331.84",12/28/2010,18%,"$5,000,000",N,0.99%,0.99%
HSBC Opportunity Fund Class A (HSOAX),20 years,$101.37,09/23/1996,94%,"$2,500",Y,1.65%,7.29%
Manning & Napier Rainier International Discovery Series Class I (RAIIX),20 years,$820.04,03/28/2012,91%,"$1,000,000",N,1.16%,1.16%
Buffalo Discovery Fund Institutional Class (BUITX),20 years,"$1,879.79",04/16/2001,84%,"$250,000",N,0.86%,0.86%
Federated Hermes Kaufmann Large Cap Fund Class C (KLCCX),20 years,"$4,758.49",12/05/2007,24%,"$1,500",N,1.87%,1.94%
Polen Global Growth Fund Institutional Class (PGIIX),20 years,$727.73,12/30/2014,12%,"$100,000",N,1.06%,1.01%
Capital Advisors Growth Fund Investor Class (CIAOX),20 years,$107.81,12/31/1999,42.57%,"$5,000",N,1.02%,1.14%
Harbor Global Leaders Fund Investor Class (HGGIX),20 years,$142.41,03/02/2009,55%,"$2,500",N,1.22%,1.34%
Wells Fargo Large Cap Growth Fund - Class A (STAFX),20 years,"$1,247.36",07/30/2010,39%,"$1,000",Y,1.07%,1.18%
American Century Focused Global Growth Fund Investor Class (TWGGX),20 years,$785.42,12/01/1998,73%,"$2,500",N,1.07%,1.07%
Virtus KAR Mid-Cap Core Fund Class I (VIMCX),20 years,"$1,498.60",06/22/2009,19%,"$100,000",N,0.96%,1.1%
WesMark Small Company Fund (WMKSX),20 years,$136.10,12/31/1993,52%,"$2,500",N,1.28%,1.28%
Champlain Emerging Markets Fund Advisor Shares (CIPDX),20 years,$6.57,09/08/2014,32%,"$10,000",N,1.3%,3%
Oberweis International Opportunities Institutional Fund (OBIIX),20 years,"$1,182.43",03/10/2014,134%,"$1,000,000",N,1.1%,1.13%
JAG Large Cap Growth Fund Class R (JGRRX),20 years,$74.69,12/22/2011,113%,"$2,500",N,0.91%,0.98%
Franklin Growth Series Class C (FRGSX),20 years,"$22,769.73",04/01/1948,9.01%,"$1,000",N,1.57%,1.58%
RMB Fund Class A (RMBHX),20 years,$149.17,06/16/1975,29%,"$2,500",Y,1.23%,1.23%
American Funds SMALLCAP World Fund® Class C (SCWCX),20 years,"$84,473.29",04/30/1990,38%,$250,N,1.81%,1.81%
AQR Large Cap Momentum Style Fund Class I (AMOMX),20 years,"$1,253.12",07/09/2009,75%,"$5,000,000",N,0.4%,0.41%
Aristotle Core Equity Fund Class I Shares (ARSLX),20 years,$165.30,03/31/2017,20%,"$2,500",N,0.65%,0.96%
BNY Mellon Worldwide Growth Fund Class A (PGROX),20 years,"$1,038.21",07/15/1993,4.92%,"$2,500",Y,1.14%,1.14%
Conestoga SMid Cap Fund Institutional Class (CCSGX),20 years,$447.57,01/21/2014,11%,"$250,000",N,0.85%,1.26%
Buffalo Discovery Fund (BUFTX),20 years,"$1,879.79",04/16/2001,84%,"$2,500",N,1.01%,1.01%
Aberdeen Global Equity Impact Fund Institutional Class (JETIX),20 years,$75.38,05/04/2005,32%,"$1,000,000",N,1.16%,1.61%
Manning & Napier Equity Series Class S (EXEYX),20 years,$79.17,05/01/1998,49%,"$2,500",N,1.05%,1.31%
Martin Currie International Sustainable Equity Fund Class I (LUEIX),20 years,$28.13,11/30/2015,49%,"$1,000,000",N,0.85%,2.09%
Guggenheim StylePlus - Mid Growth Fund Institutional (GIUIX),20 years,$117.26,09/17/1969,82%,"$2,000,000",N,1.36%,1.4%
JOHCM Global Select Fund Institutional Shares (JOGIX),20 years,$608.82,03/21/2013,40.21%,"$1,000,000",N,0.98%,0.98%
Chautauqua International Growth Fund Institutional Class (CCWIX),20 years,$480.71,04/15/2016,31%,"$10,000",N,0.8%,0.9%
Pioneer Fund Class R (PIORX),20 years,"$8,117.81",02/10/1928,91%,"$2,500",N,1.47%,1.47%
Rydex Transportation Fund Class H (RYPAX),20 years,$36.78,04/02/1998,205%,"$2,500",N,1.68%,1.68%
Touchstone Mid Cap Growth Fund Class C (TOECX),20 years,"$1,492.76",10/03/1994,65%,"$2,500",N,2.07%,2.07%
JPMorgan U.S. GARP Equity Fund Class A (JIGAX),20 years,"$1,319.43",02/28/2003,96%,"$1,000",Y,0.84%,0.9%
Rydex Transportation Fund Class A (RYTSX),20 years,$36.78,04/02/1998,205%,"$2,500",Y,1.68%,1.68%
Alger Global Focus Fund Class A (CHUSX),20 years,$35.56,11/03/2003,102.71%,"$2,500",Y,1.5%,2.19%
Fidelity® Worldwide Fund (FWWFX),20 years,"$3,235.35",05/30/1990,123%,$0,N,1.05%,1.05%
Thornburg Better World International Fund Class I (TBWIX),20 years,$366.62,09/30/2015,42.87%,"$2,500,000",N,1.09%,1.33%
Columbia Convertible Securities Fund Class C (PHIKX),20 years,"$2,625.46",09/25/1987,98%,"$2,500",N,1.87%,1.87%
Nationwide BNY Mellon Dynamic U.S. Core Fund Class A (NMFAX),20 years,"$1,482.49",02/14/1961,4.39%,"$2,500",Y,0.81%,0.87%
Rydex Retailing Fund Class Investor (RYRIX),20 years,$14.41,04/01/1998,270%,"$2,500",N,1.43%,1.43%
Fiera Capital Global Equity Fund Institutional Class (FCGIX),20 years,$34.66,04/28/2017,,"$1,000,000",N,0.9%,2.14%
Transamerica Mid Cap Growth C (MGTCX),20 years,$385.57,11/07/2001,91%,"$2,500",N,1.94%,1.94%
JAG Large Cap Growth Fund Class I (JLGIX),20 years,$74.69,12/22/2011,113%,"$250,000",N,1.26%,1.33%
Manning & Napier Rainier International Discovery Series Class S (RISAX),20 years,$820.04,03/28/2012,91%,"$2,500",N,1.41%,1.46%
Pioneer Fundamental Growth Fund Class R (PFGRX),20 years,"$7,137.94",08/22/2002,24%,"$2,500",N,1.39%,1.39%
Yorktown Growth Fund Class A (AFGGX),20 years,$87.16,06/14/1985,94%,"$2,500",Y,0.99%,1.46%
Yorktown Growth Fund Class Institutional (APGRX),20 years,$87.16,06/14/1985,94%,"$2,500",N,0.99%,1.46%
FPA U.S. Core Equity Fund (FPPFX),20 years,$83.18,04/02/1984,60%,"$2,500",N,1.22%,1.34%
JOHCM Global Select Fund Advisor Shares (JOGEX),20 years,$608.82,03/21/2013,40.21%,"$2,500",N,1.08%,1.08%
John Hancock Fundamental Large Cap Core Fund Class I (JLVIX),20 years,"$6,301.64",10/01/1984,19%,"$250,000",N,0.78%,0.79%
Ashmore Emerging Markets Equity Fund Institutional Class (EMFIX),20 years,$121.04,06/21/2011,76%,"$1,000,000",N,1.17%,1.56%
Polen Global Growth Fund Investor Class (PGIRX),20 years,$727.73,12/30/2014,12%,"$3,000",N,1.31%,1.26%
Saratoga Large Capitalization Growth Portfolio Fund Class Institutional (SLCGX),20 years,$31.47,09/01/1994,74%,"$2,500",N,1.12%,1.12%
Emerald Finance and Banking Innovation Fund - A (HSSAX),20 years,$332.43,02/18/1997,171%,"$2,500",Y,1.59%,1.59%
Virtus SGA Global Growth I Class (SGAPX),20 years,$180.68,12/31/2010,49%,"$100,000",N,1.14%,1.21%
American Century Focused Global Growth Fund A Class (AGGRX),20 years,$785.42,12/01/1998,73%,$250,Y,1.32%,1.32%
"Morgan Stanley Institutional Fund, Inc. International Advantage Portfolio Class A (MFAPX)",20 years,"$6,331.84",12/28/2010,18%,"$2,500",Y,1.28%,1.28%
Virtus KAR Mid-Cap Core Fund Class A (VMACX),20 years,"$1,498.60",06/22/2009,19%,"$2,500",Y,1.21%,1.35%
American Beacon Bridgeway Large Cap Growth Fund Investor Class (BLYPX),20 years,$233.48,10/31/2003,58%,"$2,500",N,1.13%,1.27%
Emerald Finance and Banking Innovation Fund - Investor (FFBFX),20 years,$332.43,02/18/1997,171%,"$2,500",N,1.63%,1.63%
BMO Large-Cap Growth Fund Class I (MLCIX),20 years,$576.75,11/20/1992,89%,"$1,000,000",N,0.54%,0.58%
AQR Large Cap Momentum Style Fund Class N (AMONX),20 years,"$1,253.12",07/09/2009,75%,"$1,000,000",N,0.65%,0.66%
JPMorgan Tax Aware Equity Fund Class A (JPEAX),20 years,"$1,439.25",01/30/1997,19%,"$1,000",Y,0.96%,0.96%
JPMorgan U.S. Equity Fund Class C (JUECX),20 years,"$21,985.22",09/17/1993,84%,"$1,000",N,1.44%,1.47%
Nationwide NYSE Arca Tech 100 Index Fund Class A (NWJCX),20 years,$788.14,06/10/1996,4.82%,"$2,500",Y,0.67%,0.67%
Calamos International Growth Fund Class C (CIGCX),20 years,$302.11,03/16/2005,85.2%,"$2,500",N,1.85%,2.27%
Conestoga SMid Cap Fund Investors Class (CCSMX),20 years,$447.57,01/21/2014,11%,"$2,500",N,1.1%,1.71%
Aberdeen Global Equity Impact Fund Class A (JETAX),20 years,$75.38,05/04/2005,32%,"$2,500",N,1.41%,1.92%
Barrett Growth Fund (BGRWX),20 years,$37.81,12/29/1998,6%,"$2,500",N,1.25%,1.92%
Columbia Disciplined Growth Fund Class A (RDLAX),20 years,$314.59,05/17/2007,87%,"$2,500",Y,1.1%,1.17%
Pioneer Select Mid Cap Growth Fund Class R (PGRRX),20 years,"$2,949.89",06/30/1993,83%,"$2,500",N,1.45%,1.45%
Chartwell Small Cap Growth Fund (CWSGX),20 years,$31.84,06/16/2017,24%,"$2,500",N,1.05%,1.73%
JPMorgan U.S. Large Cap Core Plus Fund Class I Shares (JLPSX),20 years,"$2,770.52",11/01/2005,85%,"$1,000,000",N,1.69%,1.83%
Midas Magic (MISEX),20 years,$21.04,03/20/1986,22%,"$2,500",N,3.38%,3.38%
Delaware Select Growth Fund Class C (DVECX),20 years,$396.40,05/20/1994,134%,"$2,500",N,1.99%,1.99%
Nationwide Loomis All Cap Growth Fund Class A (NWZLX),20 years,$388.78,05/31/2017,25.04%,"$2,500",Y,1.34%,1.38%
Knights of Columbus Large Cap Growth Fund I Class (KCGIX),20 years,$140.89,02/27/2015,93%,"$25,000",N,0.9%,1%
Rydex S&P 500 Pure Growth Fund Class C (RYGRX),20 years,$103.73,02/20/2004,240%,"$2,500",N,2.35%,2.35%
Guggenheim StylePlus - Mid Growth Fund Class P (SEUPX),20 years,$117.26,09/17/1969,82%,"$2,500",N,1.64%,1.68%
PGIM Jennison 20/20 Focus Fund- Class C (PTWCX),20 years,"$1,214.49",07/01/1998,74%,"$2,500",N,1.93%,1.93%
Putnam Convertible Securities Fund Class A (PCONX),20 years,"$1,048.37",06/29/1972,98%,"$2,500",Y,1.04%,1.04%
Brown Advisory Mid-Cap Growth Fund Investor Class (BMIDX),20 years,$198.82,10/02/2017,48%,"$2,500",N,0.98%,1.04%
Rydex Retailing Fund Class A (RYRTX),20 years,$14.41,04/01/1998,270%,"$2,500",Y,1.67%,1.67%
Virtus SGA Global Growth A Class (SGAAX),20 years,$180.68,12/31/2010,49%,"$2,500",Y,1.37%,1.37%
Rydex Retailing Fund Class H (RYRAX),20 years,$14.41,04/21/1998,270%,"$2,500",N,1.69%,1.69%
Fidelity® China Region Fund (FHKCX),20 years,"$1,822.00",11/01/1995,44%,$0,N,0.93%,0.93%
JAG Large Cap Growth Fund Class A (JLGAX),20 years,$74.69,12/22/2011,113%,"$2,500",Y,1.51%,1.58%
Matthews China Fund Institutional Class (MICFX),20 years,"$1,553.49",02/19/1998,52.64%,"$100,000",N,0.93%,0.93%
Timothy Plan Aggressive Growth Fund Class I (TIAGX),20 years,$55.94,10/05/2000,96%,"$100,000",N,1.47%,1.47%
Fairholme Fund (FAIRX),20 years,"$1,339.14",12/29/1999,8.18%,"$10,000",N,1.03%,1.03%
Ashmore Emerging Markets Equity Fund Class A (EMEAX),20 years,$121.04,06/21/2011,76%,"$2,500",Y,1.42%,1.81%
Eaton Vance Tax-Managed Multi-Cap Growth Fund Class C (ECCPX),20 years,$149.92,06/30/2000,24%,"$2,500",N,2.03%,2.03%
John Hancock Fundamental Large Cap Core Fund Class A (TAGRX),20 years,"$6,301.64",10/01/1984,19%,"$1,000",Y,1.03%,1.04%
Natixis Funds Trust I U.S. Equity Opportunities Fund Class Y (NESYX),20 years,"$1,100.27",07/07/1994,26%,"$100,000",N,0.92%,0.92%
American Century Sustainable Equity Fund I Class (AFEIX),20 years,"$3,869.15",11/30/2004,36%,"$5,000,000",N,0.59%,0.59%
BMO Mid-Cap Growth Fund Class I (MRMIX),20 years,$21.45,01/31/2008,61%,"$1,000,000",N,0.99%,1.09%
Pioneer Fund Class C (PCODX),20 years,"$8,117.81",02/10/1928,91%,"$2,500",N,1.85%,1.85%
Brown Advisory Flexible Equity Fund Investor Shares (BIAFX),20 years,$752.89,11/30/2006,13%,"$2,500",N,0.72%,0.72%
MainStay Epoch Capital Growth Fund Class C (MECEX),20 years,$78.63,06/30/2016,43%,"$2,500",N,2.11%,2.11%
Spectrum Advisors Preferred Fund Investor Class (SAPEX),20 years,$19.41,06/01/2015,831%,"$2,500",N,2.35%,2.35%
BMO Large-Cap Growth Fund Class Y (MASTX),20 years,$576.75,11/20/1992,89%,"$2,500",N,0.79%,0.83%
Neuberger Berman Small Cap Growth Fund Institutional Class (NBSMX),20 years,$431.45,10/20/1998,127%,"$1,000,000",N,0.91%,1.19%
Pioneer Fundamental Growth Fund Class C (FUNCX),20 years,"$7,137.94",08/22/2002,24%,"$2,500",N,1.72%,1.72%
Weitz Value Fund Institutional Class (WVAIX),20 years,"$1,049.86",05/09/1986,14%,"$1,000,000",N,0.88%,0.88%
BNY Mellon Sustainable U.S. Equity Fund Class C (DTCCX),20 years,$574.70,03/29/1972,30.42%,"$2,500",N,1.7%,1.83%
Red Oak Technology Select Fund (ROGSX),20 years,$688.36,12/31/1998,4%,"$2,500",N,0.94%,0.94%
PGIM Jennison Small Company Fund- Class C (PSCCX),20 years,"$2,326.63",01/22/1990,58%,"$2,500",N,1.89%,1.89%
Touchstone Large Cap Focused Fund Institutional Class (SCRLX),20 years,"$3,268.96",01/12/1934,16%,"$500,000",N,0.7%,0.81%
Transamerica Small Cap Growth I (ISCGX),20 years,$276.19,08/31/2012,69%,"$1,000,000",N,1.09%,1.09%
American Century Disciplined Growth Fund Class C (ADCCX),20 years,$534.42,09/30/2005,189%,$250,N,2%,2.01%
Marsico Global Fund (MGLBX),20 years,$315.30,06/29/2007,51%,"$2,500",N,1.5%,1.73%
Ranger Small Cap Fund Institutional Class (RFISX),20 years,$44.83,09/29/2011,42.49%,"$250,000",N,1.11%,1.43%
Delaware Ivy Core Equity Fund Class A (WCEAX),20 years,"$4,855.17",09/21/1992,49%,"$2,500",Y,1%,1%
John Hancock ESG Large Cap Core Fund Class I (JHJIX),20 years,$192.45,06/06/2016,30%,"$250,000",N,0.87%,1.21%
